Id_bien,id_codedep_codecommune,No voie,B/T/Q,Type_voie,Voie,Code_postal,Code_ID_commune,Prefixe_section,Section,No_plan,Lot,Surface_carrez,Type local,Surface_reelle_bati,Nb_piece_principale,Nature_culture,Nature_culture_speciale,Surface_terrain
AE615_44169_81,44169,12,,RUE,DE BRETAGNE,44450,1305,,AE,615,81,"63,74",Appartement,64,3,,,
AD223_44172_7012,44172,8,,RUE,LOUISE MICHEL,44980,1297,,AD,223,7012,"24,58",Appartement,25,1,,,
CL251_44184_8,44184,39,,RUE,DU CDT GUSTAVE GATE,44600,1326,,CL,251,8,"34,17",Appartement,35,2,,,
VD44_44184_15,44184,62,,AV,DE LA REPUBLIQUE,44600,1326,,VD,44,15,"44,58",Appartement,40,2,,,
AD270_44186_2,44186,2,,AV,DES ERABLES,44680,1319,,AD,270,2,"70,08",Maison,70,4,,,
AN623_45232_196,45232,417,,AV,DU LOIRET,45160,1357,,AN,623,196,"62,81",Appartement,63,4,,,
BC283_45234_70,45234,3,,RUE,DES CLOCHES ST PAUL,45000,1356,,BC,283,70,"28,5",Appartement,30,1,,,
AX319_45302_208,45302,5,,ALL,DES PERVENCHES,45770,1368,,AX,319,208,"71,45",Appartement,70,3,,,
D1425_48092_17,48092,3,,BD,SAINT DOMINIQUE,48100,1414,,D,1425,17,"27,71",Appartement,51,2,,,
D1425_48092_8,48092,3,,BD,SAINT DOMINIQUE,48100,1414,,D,1425,8,"160,58",Appartement,11,1,,,
16AC649_49328_41,49328,103,,RUE,DU PONT FOUCHARD,49400,1441,16,AC,649,41,"42,41",Appartement,41,2,,,
BN172_50218_1,50218,17,,RUE,DE LA CORDERIE,50400,1449,,BN,172,1,"112,9",Appartement,115,5,,,
CD85_51108_3,51108,84,,AV,DE PARIS,51000,1476,,CD,85,3,"68,14",Appartement,69,2,,,
AL419_51454_614,51454,15,,RUE,DESBUREAUX,51100,1488,,AL,419,614,"71,51",Appartement,79,5,,,
AT117_51454_8,51454,5,,AV,DE LAON,51100,1488,,AT,117,8,"73,04",Appartement,65,3,,,
AW51_51454_104,51454,71,,RUE,DES 3 PILIERS,51100,1488,,AW,51,104,"58,34",Appartement,57,3,,,
CI77_51454_2,51454,51,G,BD,HENRY VASNIER,51100,1488,,CI,77,2,"88,48",Appartement,87,4,,,
EK6_51454_5,51454,39,,AV,HENRI FARMAN,51100,1488,,EK,6,5,"20,3",Appartement,21,1,,,
AN405_51573_7,51573,21,,RUE,HENRI BECQUEREL,51430,1489,,AN,405,7,"99,25",Appartement,99,4,,,
AB829_54167_6,54167,23,B,AV,DU GENERAL LECLERC,54200,1567,,AB,829,6,"113,4",Appartement,121,4,,,
AX129_54184_17,54184,7,,ALL,RENE LALIQUE,54270,1511,,AX,129,17,"48,64",Appartement,51,2,,,
AI723_54234_2,54234,4,,GR,GDE RUE,54730,1538,,AI,723,2,"91,64",Appartement,80,3,,,
AK385_54547_501,54547,27,,RUE,ANTOINE BIANCAMARIA,54500,1513,,AK,385,501,"75,92",Maison,76,4,,,
BZ890_56121_75,56121,19,,RUE,DOC VILLERS,56100,1582,,BZ,890,75,"73,8",Appartement,73,4,,,
BC916_56186_73,56186,12,,RUE,DES CONSERVERIES,56170,1601,,BC,916,73,"23,25",Appartement,25,1,,,
LC330_59009_90,59009,47,,RUE,JEAN JAURES,59491,1641,,LC,330,90,"51,5",Appartement,55,2,,,
AR82_59350_416,59350,630,,AV,DE LA REPUBLIQUE,59800,1625,,AR,82,416,"11,47",Appartement,11,1,,,
MO237_59350_1,59350,22,,RUE,DE TREVISE,59000,1627,,MO,237,1,61,Appartement,61,3,,,
RS1_59350_3,59350,67,B,RUE,COLBERT,59800,1625,,RS,1,3,"14,1",Appartement,12,1,,,
HK145_59599_1121,59599,25,,RUE,DE WAILLY,59200,1669,,HK,145,1121,"91,21",Appartement,91,4,,,
AD199_60395_5,60395,39,,RUE,MARTYRS RESISTANCE,60110,1699,,AD,199,5,"59,84",Appartement,53,1,,,
AE215_60509_23,60509,134,,RUE,PASTEUR,60700,1732,,AE,215,23,"61,67",Appartement,62,3,,,
AM175_60684_119,60684,10,,ALL,DES GLAILLEULS,60870,1743,,AM,175,119,"75,13",Maison,76,4,,,
BD146_62041_11,62041,19,,RUE,DES FOURS,62000,1776,,BD,146,11,"27,79",Appartement,28,2,,,
AK553_62498_720,62498,24,,RUE,EDOUARD BOLLAERT,62300,1797,,AK,553,720,"30,95",Appartement,31,1,,,
CR388_64445_43,64445,3,,RUE,EMILE GARET,64000,1825,,CR,388,43,"44,58",Appartement,45,2,,,
CV19_64445_18,64445,9,,AV,DE BUROS,64000,1825,,CV,19,18,"54,07",Appartement,55,3,,,
AE26_69010_25,69010,3,,RUE,DE PARIS,69210,1985,,AE,26,25,"60,44",Appartement,62,3,,,
D754_69081_108,69081,18,B,AV,EDOUARD PAYEN,69130,1977,,D,754,108,"101,61",Appartement,120,5,,,
AR30_69244_13,69244,125,,AV,CHARLES DE GAULLE,69160,1980,,AR,30,13,"68,35",Appartement,68,3,,,
AH19_69381_24,69381,19,,RUE,PIERRE BLANC,69001,1913,,AH,19,24,"52,12",Appartement,35,1,,,
AH1_69384_10,69384,2,,RUE,BONY,69004,1908,,AH,1,10,"114,81",Appartement,114,4,,,
BI80_69386_225,69386,152,,RUE,DUGUESCLIN,69006,1929,,BI,80,225,"33,61",Appartement,34,2,,,
AP169_69389_10,69389,4,,ALL,EDITH PIAF,69009,1910,,AP,169,10,"23,83",Appartement,24,1,,,
CM35_71076_4,71076,28,,QUAI,SAINT COSME,71100,2050,,CM,35,4,"54,69",Appartement,54,2,,,
CO137_71076_157,71076,35,A,RUE,DE LA MANUTENTION,71100,2050,,CO,137,157,"61,4",Appartement,62,4,,,
AN283_71486_59,71486,1,,RUE,SIMONE DE BEAUVOIR,71230,2054,,AN,283,59,"70,67",Appartement,70,4,,,
A852_74007_15,74007,87,,RTE,DE LA CHAPELLE,74800,2186,,A,852,15,"66,18",Appartement,67,3,,,
B4358_74190_341,74190,12,,RUE,DU CLOCHER,74440,2176,,B,4358,341,"22,59",Appartement,32,1,,,
B461_74298_11,74298,8,,CHE,DES HUCHES,74100,2136,,B,461,11,"51,3",Appartement,52,2,,,
AT4_75101_199,75101,108,,RUE,SAINT HONORE,75001,3196,,AT,4,199,"25,25",Appartement,25,2,,,
AD68_75103_88,75103,7,,RUE,GRENETA,75003,3195,,AD,68,88,"9,59",Appartement,10,1,,,
AK17_75103_21,75103,14,,RUE,FROISSART,75003,3195,,AK,17,21,"61,01",Appartement,62,3,,,
AT17_75103_58,75103,26,,RUE,RAMBUTEAU,75003,3195,,AT,17,58,"17,05",Appartement,22,1,,,
AI63_75104_44,75104,26,,RUE,DU ROI DE SICILE,75004,3213,,AI,63,44,"16,63",Appartement,20,1,,,
AT1_75106_25,75106,42,,RUE,NOTRE DAME DES CHAMPS,75006,3198,,AT,1,25,"195,1",Appartement,193,5,,,
AY32_75108_116,75108,17,,RUE,DARU,75008,3197,,AY,32,116,"26,4",Appartement,16,1,,,
BD1_75108_27,75108,46,,RUE,D ARTOIS,75008,3197,,BD,1,27,"40,37",Appartement,45,2,,,
BQ36_75108_47,75108,9,,RUE,DU CHEVALIER DE ST-GEORGE,75008,3197,,BQ,36,47,6,Appartement,13,2,,,
BS136_75108_20,75108,14,,RUE,DE L ARCADE,75008,3197,,BS,136,20,"22,27",Appartement,24,1,,,
CD26_75108_106,75108,9,,RUE,DE FLORENCE,75008,3197,,CD,26,106,"106,7",Appartement,108,3,,,
CH57_75108_44,75108,17,,RUE,DU GENERAL FOY,75008,3197,,CH,57,44,"179,61",Appartement,173,4,,,
AZ46_75109_159,75109,3,,RUE,DE L AGENT BAILLY,75009,3202,,AZ,46,159,"24,02",Appartement,27,1,,,
AB14_75110_20,75110,34,B,RUE,DE DUNKERQUE,75010,3201,,AB,14,20,"104,14",Appartement,101,4,,,
BC20_75110_11,75110,35,,RUE,DES VINAIGRIERS,75010,3201,,BC,20,11,"28,56",Appartement,27,2,,,
AD1_75111_18,75111,176,,RUE,SAINT MAUR,75011,3203,,AD,1,18,"16,2",Appartement,14,1,,,
CR18_75112_8,75112,24,,PAS,DU GENIE,75012,3204,,CR,18,8,"60,58",Appartement,61,3,,,
EO18_75112_19,75112,16,,RUE,LACUEE,75012,3204,,EO,18,19,"50,89",Appartement,51,2,,,
HA76_75112_24,75112,78,,BD,DIDEROT,75012,3204,,HA,76,24,"59,73",Appartement,60,3,,,
HB75_75112_115,75112,56,,AV,DAUMESNIL,75012,3204,,HB,75,115,"11,99",Appartement,14,1,,,
AG59_75116_17,75116,181,,AV,DE VERSAILLES,75016,3208,,AG,59,17,"39,35",Appartement,36,3,,,
AR21_75116_39,75116,24,,BD,EXELMANS,75016,3208,,AR,21,39,"44,53",Appartement,42,3,,,
BQ100_75116_62,75116,85,,RUE,JEAN DE LA FONTAINE,75016,3208,,BQ,100,62,"40,63",Appartement,39,2,,,
BW45_75116_41,75116,28,,RUE,GEORGE SAND,75016,3208,,BW,45,41,"31,13",Appartement,31,1,,,
DS12_75116_1055,75116,19,,AV,PAUL DOUMER,75016,3208,,DS,12,1055,"53,27",Appartement,50,2,,,
EW21_75116_11,75116,50,,RUE,PERGOLESE,75016,3208,,EW,21,11,"94,02",Appartement,94,4,,,
AK99_75117_8,75117,6,,RUE,BREY,75017,3209,,AK,99,8,"73,54",Appartement,76,3,,,
AQ6_75117_215,75117,10,,RUE,ROGER BACON,75017,3209,,AQ,6,215,"24,04",Appartement,25,1,,,
BT68_75117_12,75117,6,,RUE,GUSTAVE DORE,75017,3209,,BT,68,12,"52,12",Appartement,52,2,,,
BG21_75118_3,75118,11,,BD,ORNANO,75018,3210,,BG,21,3,"77,8",Appartement,40,2,,,
BG33_75118_23,75118,8,,RUE,BAUDELIQUE,75018,3210,,BG,33,23,"35,62",Appartement,33,2,,,
BK67_75118_21,75118,19,,RUE,HERMEL,75018,3210,,BK,67,21,"36,58",Appartement,37,3,,,
BO52_75118_19,75118,20,,RUE,CHAPPE,75018,3210,,BO,52,19,"29,22",Appartement,30,1,,,
CJ78_75118_11,75118,33,,RUE,MARX DORMOY,75018,3210,,CJ,78,11,"112,06",Appartement,110,4,,,
AO79_75119_2051,75119,10,,RUE,RIQUET,75019,3212,,AO,79,2051,"49,92",Appartement,49,2,,,
AV35_75119_4,75119,17,,RUE,LALLY TOLLENDAL,75019,3212,,AV,35,4,"33,32",Appartement,35,2,,,
